Aanbieding in €,Adres,Adres_google,Categorie,Conclusie,Eindcijfer,Gewicht in gram,Hoeveelheid vulling,Jaar,Klefheid,Luchtigheid,Naam,Nevenvestiging,Opmerking,Plaats,Plaats op ranglijst,Prijs per stuk in €,Smaak,Uiterlijk,Vetpercentage,Zelf aangemeld voor deelname,Zoetheid
"11 voor  9,00",Hoofdweg 730a,,Onvoldoende," Harde, onaangename korst. Vanbinnen droog. Lijkt meer op een (brood)krentenbol dan een oliebol. Bakker Gerard droomt al jaren van een hoge klassering. Tijd om wakker te worden.",5.0,93.8,,2016,,,Bakker Gerard,False,,Hoofddorp,111.0,€ 0.95,,,10.4,,
-,Plein 5,,Onvoldoende, Met deze taaie korst maak je geen vrienden. Droge bol met een vrij compacte structuur. Bij Dees is het altijd een kwestie van vriezen of dooien. Als klant moet je geluk hebben.,5.0,94.3,,2016,,,Bakkerij Dees,False,,Zaamslag,112.0,€ 0.8,,,9.2,,
"12 voor  8,00",Kerkplein,,Onvoldoende," Een oliebol mag best een beetje vet zijn, maar je kunt het overdrijven. De olie spuit eruit. Flauwe bol met weinig smaak. De taaie korst draagt evenmin bij aan de feestvreugde.",5.0,90.3,,2016,,,Dutch Bakery,False,,Alkmaar,113.0,€ 1,,,14.3,,
"11 voor  9,00",’t Vlak,,Onvoldoende," Ron Hoppema is een van de bakkers die het oprecht probeert, maar zijn inspanningen toch niet beloond ziet. Dikke korst, droge en plakkerige bol. Smaakt niet erg aangenaam.",5.0,86.0,,2016,,,Gebakkraam Ron Hoppema,False,,Barendrecht,114.0,€ 0.9,,,9.1,,
"12 voor  10,00","Nieuwgraaf 28, bij Makro",,Onvoldoende," Een oliebol waar de goede intenties vanaf druipen, maar die jammerlijk is mislukt. Niet gaar. Te veel vulling die slecht is verdeeld. Dichte structuur. Ligt als een steen op de maag.",5.0,117.0,,2016,,,Oliebollencompany,False,,Duiven,115.0,€ 0.9,,,8.1,,
"12 voor  9,00",Bij winkelcentrum Mereveldplein,,Onvoldoende," Taai, verkoold en compact. In 2011 verraste Gerrie Bischoff met een 9,5. Dat succes is nooit herhaald. Het lijkt tijd om de knop definitief om te zetten en (technische) hulp te vragen.",5.0,80.3,,2016,,,Gebakkraam Bischoff,False,,De Meern,116.0,€ 1,,,6.0,,
"12 voor  8,00","Tarwelaan 70, parkeerterrein AH",,Onvoldoende, De vulling is aan de karige kant en dat komt de smaak niet ten goede. Om dat vast te stellen moet je je eerst door de taaie korst heenwerken. Ook hier lijkt bijscholing op zijn plaats.,5.0,75.8,,2016,,,Hollandsche Gebakkraam Speelman,False,,Eindhoven,117.0,€ 0.8,,,7.1,,
"12 voor  9,00",Zevenkampsering 881 t.h.v. Dirk,,Onvoldoende, Dubbelt krijgt veel complimenten van klanten. Deze oliebollen zijn helaas maar net gaar en dat bepaalt in belangrijke mate de smaak. De vulling is slecht verspreid in de kleffe bol.,5.0,94.9,,2016,,,Oliebollenbakkerij Dubbelt,False,,Rotterdam,118.0,€ 0.9,,,7.0,,
"12 voor  10,00",Herenhof,,Onvoldoende, Taai vanbuiten en klef vanbinnen. Heeft ook bijzonder weinig smaak. Hoog tijd voor verbetering en innovatie. Maar dan moet je daar als uitbater wel voor openstaan.,5.0,105.1,,2016,,,Gebakkraam Kabalt,False,,Alphen aan den Rijn,119.0,€ 1,,,5.45,,
"12 voor  8,00",Simonsplein 4,,Onvoldoende, Medelijden met de mensen die op dit verkooppunt zijn aangewezen. Weinig vulling en smaak. Taai en klef. Een bakker moet zich schamen voor een dergelijke wanprestatie.,5.0,84.7,,2016,,,Hendriks,False,,Doetinchem,120.0,€ 0.8,,,10.7,,
"10 voor  8,00",Spuiboulevard 194,,(Zeer) slecht," Vette korst, hapt niet lekker weg. Ondefinieerbare bijsmaak. Gewoon niet lekker. De goede naam die dit verkooppunt had, is de laatste tijd aan flinke slijtage onderhevig. Jammer.",4.5,121.6,,2016,,,Ron’s Gebakkraam,False,,Dordrecht,121.0,€ 1,,,10.2,,
"6 voor  3,75",Molendijk 42,,(Zeer) slecht, Voordijk begaat een doodzonde: de oliebollen zijn niet gaar en de buitenkant is veel te hard. Of zoals iemand schrijft: ‘Een steen gevuld met plakdeeg.’ Uithuilen en opnieuw beginnen.,4.5,88.7,,2016,,,Bakker Voordijk,False,,Oud,122.0,€ 0.75,,,10.2,,
-,Ferdinand Bolstraat 134,,(Zeer) slecht, De bol gaat onderuit op de te overheersende kaneelsmaak. Hij is zo luchtig dat ook de term ‘gebakken lucht’ valt. De korst moet ook een stuk knapperiger. Handen uit de mouwen!,4.5,83.1,,2016,,,Brood- en Banketbakkerij Rud.H.Venekamp,False,,Amsterdam,123.0,€ 0.95,,,14.4,,
"10 voor 7,50",Piazza Center 8,,(Zeer) slecht, Een smaakaccent mag nooit overheersen en dat doet de kaneel in deze bol wel. Jammer. Lijkt ook meer op krentenbrood dan op oliebol. De korst is aan de taaie kant.,4.5,88.3,,2016,,,Bakker Bas,False,,Gorinchem,124.0,€ 0.85,,,8.0,,
"12 voor  10,00","Zeemanstraat 2, parkeerterrein Makro",,(Zeer) slecht," Een oliebol die met wat kleine aanpassingen beter in balans komt en een stuk beter zal smaken. De korst mag iets krokanter, de bol iets luchtiger en een beetje minder vulling. Voila.",4.5,90.7,,2016,,,Gebakkraam,False,,Barendrecht,125.0,€ 1,,,10.2,,
"11 voor  9,00",Mauritsweg 9,,(Zeer) slecht," Mocht een Limburgse schutterij door zijn munitie heen zijn... Harde, kleine en droge oliebollen met een kakofonie aan (bij)smaken. Bedenk: eenvoud is het kenmerk van de ware.",4.5,87.6,,2016,,,Dukers dé bakker,False,,Stein,126.0,€ 0.95,,,7.5,,
"11 voor  8,00","Collse Hoefdijk 7, parkeerterrein   Intratuin",,(Zeer) slecht," Een adres waar, als de bakker daarvoor openstaat, de instructeurs van Koopmans Meel nog veel nuttig werk kunnen verrichten. Klef en zompig, vet en vlak van smaak.",4.5,101.3,,2016,,,Sweet Chocolate Hendriks,False,,Nuenen,127.0,€ 1,,,10.1,,
"16 voor  10,00",Cambuurplein 44,,(Zeer) slecht, Relatief lage prijs wordt terugverdiend door te bezuinigen op krenten en rozijnen. Rubberen stuiterballetje met het uiterlijk van een bleekscheet. Smaakt zoet dankzij vanillesuiker.,4.5,96.1,,2016,,,Gebakkraam Jansen-Arjaans,False,,Leeuwarden,128.0,€ 0.7,,,9.9,,
"11 voor  9,00","Samanthagang, winkelcentrum Rokkeveen",,(Zeer) slecht, Dé oliebol voor vogelliefhebbers. Touwtje erom en ophangen als (mager) vetbolletje voor onze gevederde vrienden. Zelf consumeren lijkt minder verstandig. Tenzij de wc dichtbij is.,4.0,89.0,,2016,,,Delicious Dutch,False,,Zoetermeer,129.0,€ 1,,,6.9,,
"12 voor  10,00",Julianaplein,,(Zeer) slecht," Keurig verzorgde kraam waar men vast van goede wil is. Maar op allerlei baktechnische aspecten gaat het mis. De korst is redelijk, de structuur onvoldoende. Klef en weinig smaak.",4.0,94.3,,2016,,,Gebakkraam De Boer,False,,Bussum,130.0,€ 1,,,6.3,,
"6 voor  5,00","Deltaweg 76, parkeerterrein tuincentrum",,(Zeer) slecht," Vreemd allegaartje aan smaakjes, waaronder – dankzij verbrande vruchten – die van houtskool. Als je geluk hebt, koop je hier een prima oliebol. Bij pech zo een als deze.",4.0,98.4,,2016,,,Van der Schee’s Lekkernij,False,,Vlaardingen,131.0,€ 1,,,8.15,,
"10 voor  8,00",Ophelialaan,,(Zeer) slecht," De smaak valt eigenlijk best mee, maar het gaat erom ook de laatste verbeterslagen te maken. Minder kaneel, betere structuur, mooiere korst en je hebt een topbol.",4.0,90.7,,2016,,,Hollandsche Gebakkraam Albers,False,,Aalsmeer,132.0,€ 1,,,8.9,,
"10 voor  8,00","Winkelcentrum Koningshoek, voor AH",,(Zeer) slecht," Koningshoek wordt verbouwd om het klantvriendelijker te maken; iets wat deze oliebol ook wel kan gebruiken. Rare vorm, nare smaak. Lijkt op een mislukt puddingbroodje.",3.5,87.1,,2016,,,Brabantse Gebakkraam Leenders-Verwijk,False,,Maassluis,133.0,€ 0.9,,,9.32,,
-,Oranjeplein 32,,(Zeer) slecht, Deze op andere fronten prijswinnende bakker verslikt zich lelijk in de oliebol. Medicinale smaakafwijking die associaties oproept met een fluorbehandeling bij de tandarts.,3.5,86.1,,2016,,,Bakkerij Van den Berg,False,,Maasdijk,134.0,€ 0.9,,,9.0,,
"10 voor  7,00",Voormarkt,,(Zeer) slecht," Zacht bolletje dat je bij wijze van spreken naar binnen kunt zuigen. Eigenlijk geen korst aanwezig, vanbinnen veel te nat. Kippenvel en rechtovereind staande haartjes.",3.5,89.1,,2016,,,Oliebollenkraam,False,,Doesburg,135.0,€ 0.9,,,5.3,,
"12 voor  8,00",Raadhuisplein 1,,(Zeer) slecht, Een oliebol die bitter weinig waardering krijgt. Klein van formaat en erg donker gebakken. Korst is taai en vanbinnen klef. Plakbolletje dat ook nog eens net niet gaar is.,3.5,77.2,,2016,,,Tony’s Gebakkraam,False,,Bodegraven,136.0,€ 0.8,,,6.5,,
"10 voor  9,00",Stationsplein,,(Zeer) slecht," Laat de bollen langer in de olie liggen, dan zijn ze waarschijnlijk wel gaar. Nu zijn ze klef van het vrijwel rauwe deeg. Verhoog ook het smaakgehalte. Dit verkooppunt kan veel beter.",3.5,88.4,,2016,,,Bollen & Wafels,False,,Zwijndrecht,137.0,€ 0.95,,,5.9,,
"10 voor  7,50",Zuiderzeestraatweg 489,,(Zeer) slecht, Bakker doet voor het eerst mee en gaat keihard onderuit. Klef en taai. Smakeloos stuk deeg. Zeer geschikt als visvoer of voor kinderen om mee te kleien. Maar zelf consumeren? Nee!,3.5,84.8,,2016,,,Bakkerij G. van Olst,False,,Wezep,138.0,€ 0.8,,,10.5,,
"14 voor  10,00","Edisonweg 4, voor ingang Makro",,(Zeer) slecht, Johan Stuij zegt ‘achter zijn product te staan’ en wil daarom worden getest. Het panel heeft echter weinig goede woorden over voor zijn oliebollen. Toch een ander recept proberen?,3.5,76.3,,2016,,,Gebakkraam Stuij,False,,Vianen,139.0,€ 1,,,4.7,,
-,"Voor Coop, Schoneveld 35",,(Zeer) slecht," Als hij de kans krijgt, moet Snoep zich maar aanmelden voor bakles. Dat is hard nodig. Dit lijkt nog het meest op te zoet krentenbrood met het uiterlijk van een wrattenzwijn.",3.5,61.5,,2016,,,Bakker Snoep,False,,Rhenen,140.0,€ 0.7,,,13.3,,
"12 voor  10,00",Stationsweg thv nr 33,,(Zeer) slecht, Gouki staat voor vele generaties oliebollenbakkers. Maar in de loop der tijd zijn de technieken veranderd. Maak daar gebruik van en je bakt betere bollen. Nu zijn ze vooral klef.,3.5,99.8,,2016,,,Gouki de Oliebollenkoning,False,,Zuidlaren,141.0,€ 1,,,5.4,,
"11 voor  9,00",Dr. Struyckenplein,,(Zeer) slecht," De poging om de in de ogen van de verkoper te lage score van vorig jaar te verbeteren, slaagt niet. Erg donker gebakken. De smaak van de vanillesuiker is overheersend.",3.5,95.2,,2016,,,Gebakkraam Denies,False,,Breda,142.0,€ 1,,,6.2,,
"12 voor  10,00","parkeerterrein Intratuin, Goorseweg 27",,(Zeer) slecht," Dennis Bischoff schatte zelf in dat hij kans maakte op een plaats in de top 10. Het panel oordeelt anders. ‘Er zit wel smaak aan, maar niet de juiste smaak.’ Klef en taai.",3.5,86.2,,2016,,,Oliebollenkraam Dennis Bischoff,False,,Lochem,143.0,€ 1,,,8.6,,
"11 voor  9,00",Vuurplaat t.h.v. 322,,(Zeer) slecht, Op de rand van niet gaar en daardoor in elk geval behoorlijk klef. Blijft in je mond plakken. Erg taaie korst. De vriendelijke uitbater moet nog wat energie in bijscholing stoppen.,3.5,106.1,,2016,,,Gebakkraam Henskens,False,,Rotterdam,144.0,€ 0.9,,,4.1,,
"12 voor  10,00",Eendrachtsplein,,(Zeer) slecht," Kleffe, flauwe hap met overheersende gistsmaak. Amper vulling. Het beeld van Kabouter Buttplug voor de kraam brengt je op een idee waar je deze oliebol kunt opbergen.",3.5,94.7,,2016,,,Hollandse Gebakkraam Henskens,False,,Rotterdam,145.0,€ 1,,,8.1,,
"10 voor  7,00",Westdam,,(Zeer) slecht, Muller sr staat al veel jaren in de gebakkraam. Dat is misschien zijn achilleshiel. Voortborduren op oude gewoonten levert anno 2016 niet altijd de beste bol op. Taai en klef.,3.0,88.6,,2016,,,Oud Hollandse Gebakkraam Muller,False,,Woerden,146.0,€ 1,,,6.8,,
"10 voor  8,00",Bredeweg 61,,(Zeer) slecht," Een nobel streven, mensen met een beperking inhuren. Maar voor de bollen pakt het minder goed uit. Ze zijn bijna verkoold. Aangebrande smaak. Binnenin een kleffe deegbal. Bah!",3.0,100.7,,2016,,,Buurtmarkt Breedeweg,False,,Groesbeek,147.0,€ 0.9,,,7.7,,
"11 voor  9,00",Koemarkt 12,,(Zeer) slecht," Ook in de kraamwereld heb je onvervalste prutsers. Dit is zo’n voorbeeld. Niets deugt. Niet gaar, te licht, te weinig vulling, klef. Onvervalste kleefpasta. Houd de portemonnee dicht!",3.0,87.5,,2016,,,Oliebollenkraam Koemarkt,False,,Purmerend,148.0,€ 1,,,8.5,,
"11 voor  5,00",Kortestraat 23,,(Zeer) slecht," Hoe goedkoop toch weer duurkoop blijkt te zijn. We vroegen om een oliebol, niet om een pakje kauwgum. Of is het zo’n knijpstressballetje? Deze bol smaakt naar alles en niets.",3.0,71.2,,2016,,,Bakkerij Ter Avest,False,,Delden,149.0,€ 0.5,,,6.9,,
"12 voor  10,00","Kerklaan, metrostation bij w.centrum Koperwiek",,(Zeer) slecht," De gebruikte mix zorgt voor een gevalletje geelzucht. Ruikt onaangenaam. De korst is taai, de binnenkant droog, melig en smakeloos. Een kermisattractie waar je beter aan voorbijloopt.",3.0,80.1,,2016,,,Gebakkraam,False,,Capelle aan den IJssel,150.0,€ 1,,,6.1,,
"9 voor  8,00",De Bogerd,,Oneetbaar," De ambachtelijke vorm nemen we nog voor lief, de verschrikkelijke smaak niet. Zou een schoenzool zo smaken? En knijpen in de korst geeft het effect van een vulkaanuitbarsting.",2.5,75.7,,2016,,,De Betuwse Oliebollenbakkerij Arjaans-Eckelboom,False,,Druten,151.0,€ 1,,,8.9,,
"14 voor  10,00","Enighauserweg 101, parkeerterrein Hornbach",,Oneetbaar," Ricardo en Sabrina Hamers geven zichzelf op voor de test. Dat getuigt van lef. Zet nu de stap om deskundige hulp in te roepen, want er valt veel te verbeteren. Eigenlijk alles.",2.5,80.9,,2016,,,Oliebollenkraam,False,,Geleen,152.0,€ 1,,,4.0,,
"12 voor  10,00",Voorheuvel 73,,Oneetbaar," La Collina is een mediterrane delicatessenzaak die werkt met ambachtelijke en biologische producten. Deze speltoliebollen zijn niet te eten. Chemische, zoete smaakexplosie.",2.0,75.9,,2016,,,Trattoria La Collina,False,,Zeist,153.0,€ 1,,,10.5,,
"10 voor  8,00",Raadhuisplein 1C,,Oneetbaar, Er komt heel wat ambacht bij kijken om een dergelijk monster te creëren. Mensen met een zwakke gezondheid moeten hier niet aan beginnen. Taai en ranzig. De vetste bollen uit test.,2.0,83.5,,2016,,,Irene’s ambachtelijke bakkerswinkel,False,,Meerkerk,154.0,€ 0.9,,,18.8,,
"14 voor  10,00",Parkeerterrein De Bolkshoek,,Oneetbaar," Jan Terlouw riep onlangs op het goede in elkaar te blijven zien. Helemaal mee eens, maar er zijn grenzen. En met zijn smakeloze sponzen heeft deze bakker die ver overschreden.",1.5,82.3,,2016,,,Gebakkraam Streekstra-Bont,False,,Borne,155.0,€ 0.8,,,7.7,,
"12 voor  10,00",Oude Kerkstraat/Voorstraat,,Oneetbaar," Carl Denies is ver van het prijswinnende pad afgedwaald. Na een slechte eerste ronde grijpt hij ook in de herkansing ernaast. De bol mist smaak, heeft wel een nare nasmaak. Jammer.",1.5,103.8,,2016,,,Hollandse Gebakkraam C. Denies,False,,Delft,156.0,€ 1,,,9.9,,
"10 voor  8,00",Grote Markt,,Oneetbaar," Kraakheldere kraam en bedrijfskleding. Mooi! Uitbaatster zegt ‘schijtziek’ te worden van de slechte uitslagen in de afgelopen jaren. Hard, maar deze misbaksels verdienen niet beter.",1.5,82.6,,2016,,,Gebakkraam Wiltjer-Fogerty,False,,Groningen,157.0,€ 0.9,,,8.1,,
"10 voor  7,00",Noordewierweg 131,,Oneetbaar," Taaie, smakeloze deegbol. ‘Het smerigste wat ik ooit heb gegeten’, meldt een panellid. De tweede ronde is niet veel beter. Inwoners van Amersfoort kunnen zich nog bedenken.",1.5,86.5,,2016,,,Gebakkraam,False,,Amersfoort,158.0,€ 1,,,7.2,,
"8 voor  6,00","Kattegat 1A, voor ingang Makro",,Oneetbaar," Vettig aanvoelend bolletje, prima geschikt om een fietsketting mee te smeren. Dit moet je niet willen eten. De korst is knagen op een stuk scheepstouw. Waar is het teiltje?",1.5,76.8,,2016,,,Gebakkraam,False,,Groningen,159.0,€ 1,,,9.4,,
"12 voor  8,00","Floridaplein 13, bij winkelcentrum Schalkwijk",,Oneetbaar, De laatste plaats. En wat staat er in grote letters op de kraam? KWALITEIT IS ONZE RECLAME. Iemand met een beetje gevoel voor humor wordt daar toch heel vrolijk van? Weg hier!,1.0,76.2,,2016,,,Hollandsche Gebakkraam H.J. Bakker,False,,Haarlem,160.0,€ 1,,,5.2,,
"10 voor  9,50",Stationsweg 10,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Oostvoorne,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Oostvoorne,1.0,€ 1,,,13.5,,
"10 voor  9,50",Dorpsweg 25,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Rockanje,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rockanje,1.0,€ 1,,,13.5,,
"10 voor  9,50",Vischstraat 15,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Vischstraat,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Brielle,1.0,€ 1,,,13.5,,
"10 voor  9,50",Reede 46,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Reede,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Brielle,1.0,€ 1,,,13.5,,
"10 voor  9,50",Evertsenplein 94,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Evertsenplein,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Hellevoetsluis,1.0,€ 1,,,13.5,,
"10 voor  9,50",Molenweg 67,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Rozenburg,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rozenburg,1.0,€ 1,,,13.5,,
"10 voor  9,50",De Loper 41,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp De Loper,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Vlaardingen,1.0,€ 1,,,13.5,,
"10 voor  9,50",Veerplein 118,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Veerplein,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Vlaardingen,1.0,€ 1,,,13.5,,
"10 voor  9,50",Binnenban 77,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Hoogvliet,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Hoogvliet,1.0,€ 1,,,13.5,,
"10 voor  9,50",Kerkstraat 4,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Poortugaal,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Poortugaal,1.0,€ 1,,,13.5,,
"10 voor  9,50",Strawinskiplein 5,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Rhoon,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Rhoon,1.0,€ 1,,,13.5,,
"10 voor  9,50",t Plateau 25,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Plateau,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Spijkenisse,1.0,€ 1,,,13.5,,
"10 voor  9,50",Sterrenhof 22,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Sterrenhof,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Spijkenisse,1.0,€ 1,,,13.5,,
"10 voor  9,50",Vlinderveen 445,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Waterland,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Spijkenisse,1.0,€ 1,,,13.5,,
"10 voor  9,50",Hadewychplaats 82,,Top 10, Diepe buiging voor Meesterbakker Voskamp. Gefeliciteerd met het prolongeren van de titel. Deze bol komt bovendrijven als de ultieme oliebol van 2016. Een ongelooflijke topprestatie.,10.0,98.4,,2016,,,Meesterbakker Voskamp Maaswijk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Spijkenisse,1.0,€ 1,,,13.5,,
"10 voor  9,00",Muziekplein 5,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Barendrecht,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Van Beuningenhaven 8a,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - Carnisseveste,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Barendrecht,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Noordgeest 14,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - in Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),18,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",De Scholver / Picassopassage 13,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - De Scholver,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Capelle a/d IJssel,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",De Terp / Amsteldiep 22,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - De Terp,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Capelle a/d IJssel,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Den Bogerd 24,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - In Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Hardinxveld,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Reigerhof 136,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - De Reigerhof,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Nieuwerkerk a/d IJssel,3.0,€ 0.95,,,15.1,,
"10 voor  9,00",Prof. Mulderslaan 11,,Top 10, Loon naar werken voor Bakkerij Aad Klootwijk. Bolletje waar je je vingers bij opeet. Bakkers Werner Lodewijk en Jan Verwijs staken vele uren in het vinden van de ultieme oliebol. Gelukt!,9.5,92.5,,2016,,,Bakkerij Aad Klootwijk - in Dirk,True,* nevenvestiging (bakker heeft meerdere filialen. De oliebollen zijn gekocht in andere vestiging),Oudenbosch,3.0,€ 0.95,,,15.1,,
